id,statcode,statnaam,jrstatcode,rubriek,id_2,LEVL_CODE,NUTS_ID,CNTR_CODE,NAME_LATN,NUTS_NAME,MOUNT_TYPE,URBN_TYPE,COAST_TYPE,FID,freq,sex,unit,age,geo\TIME_PERIOD,2014,2015,2016,2017,2018,2019
cbs_gemeente_2020_labelpoint.1,GM0003,Appingedam,2020GM0003,gemeente,NL112,"3",NL112,NL,Delfzijl en omgeving,Delfzijl en omgeving,"4","2","1",NL112,A,T,NR,TOTAL,NL112,"47958 ","47560 ","47111 ","46850 ","46396 ","46051 "
cbs_gemeente_2020_labelpoint.2,GM0010,Delfzijl,2020GM0010,gemeente,NL112,"3",NL112,NL,Delfzijl en omgeving,Delfzijl en omgeving,"4","2","1",NL112,A,T,NR,TOTAL,NL112,"47958 ","47560 ","47111 ","46850 ","46396 ","46051 "
cbs_gemeente_2020_labelpoint.3,GM0014,Groningen,2020GM0014,gemeente,NL113,"3",NL113,NL,Overig Groningen,Overig Groningen,"4","2","1",NL113,A,T,NR,TOTAL,NL113,"385826 ","387416 ","388027 ","389338 ","389763 ","391136 "
cbs_gemeente_2020_labelpoint.4,GM1969,Westerkwartier,2020GM1969,gemeente,NL113,"3",NL113,NL,Overig Groningen,Overig Groningen,"4","2","1",NL113,A,T,NR,TOTAL,NL113,"385826 ","387416 ","388027 ","389338 ","389763 ","391136 "
cbs_gemeente_2020_labelpoint.5,GM0024,Loppersum,2020GM0024,gemeente,NL112,"3",NL112,NL,Delfzijl en omgeving,Delfzijl en omgeving,"4","2","1",NL112,A,T,NR,TOTAL,NL112,"47958 ","47560 ","47111 ","46850 ","46396 ","46051 "
cbs_gemeente_2020_labelpoint.6,GM0034,Almere,2020GM0034,gemeente,NL230,"3",NL230,NL,Flevoland,Flevoland,"4","1","2",NL230,A,T,NR,TOTAL,NL230,"399893 ","401791 ","404068 ","407818 ","411670 ","416546 "
cbs_gemeente_2020_labelpoint.7,GM0037,Stadskanaal,2020GM0037,gemeente,NL111,"3",NL111,NL,Oost-Groningen,Oost-Groningen,"4","2","1",NL111,A,T,NR,TOTAL,NL111,"148944 ","148966 ","148583 ","147393 ","146785 ","146803 "
cbs_gemeente_2020_labelpoint.8,GM1952,Midden-Groningen,2020GM1952,gemeente,NL113,"3",NL113,NL,Overig Groningen,Overig Groningen,"4","2","1",NL113,A,T,NR,TOTAL,NL113,"385826 ","387416 ","388027 ","389338 ","389763 ","391136 "
cbs_gemeente_2020_labelpoint.9,GM0047,Veendam,2020GM0047,gemeente,NL111,"3",NL111,NL,Oost-Groningen,Oost-Groningen,"4","2","1",NL111,A,T,NR,TOTAL,NL111,"148944 ","148966 ","148583 ","147393 ","146785 ","146803 "
cbs_gemeente_2020_labelpoint.10,GM1950,Westerwolde,2020GM1950,gemeente,NL111,"3",NL111,NL,Oost-Groningen,Oost-Groningen,"4","2","1",NL111,A,T,NR,TOTAL,NL111,"148944 ","148966 ","148583 ","147393 ","146785 ","146803 "
cbs_gemeente_2020_labelpoint.11,GM0050,Zeewolde,2020GM0050,gemeente,NL230,"3",NL230,NL,Flevoland,Flevoland,"4","1","2",NL230,A,T,NR,TOTAL,NL230,"399893 ","401791 ","404068 ","407818 ","411670 ","416546 "
